FID,HUC8,Site,loggernum_,ycoord,xcoord,descriptio,MonthIn,DayIn,YearIn,MonthCol,DayCol,YearCol,Notes,POINT_X,POINT_Y
30,YEL,177,3189,43.127785789999997,-91.513120709999995,YEL_177_Swenson,6,20,2019,9,17,2019,buried; sand,620846.551978999981657,4776021.548349999822676
31,YEL,189,4602,43.141138339999998,-91.694072059999996,YEL_189,5,30,2019,9,14,2019,normal,606171.114241000032052,4777315.516149999573827
32,YEL,190,4599,43.216268390000003,-91.370865170000002,YEL_190_Kelly,7,8,2019,9,19,2019,submerged; partially buried,632269.499273000052199,4786008.587270000018179
33,YEL,21,4633,43.176523039999999,-91.632364569999993,YEL_21_Kautman,6,3,2019,9,14,2019,submerged; half buried,611163.261172999977134,4781353.223229999653995
34,YEL,24,4608,43.075681480000000,-91.375977860000006,YEL_24_Melcher_4608,7,11,2019,9,17,2019,normal,632192.600834000040777,4770506.568339999765158
35,YEL,28,3196,43.042721899999997,-91.283867990000005,YEL_28_Schultz,7,10,2019,9,11,2019,normal,639665.630985000054352,4767067.119169999845326
36,YEL,37,3211,43.124011570000000,-91.627781110000001,YEL_37_Koenig_3211,7,11,2019,9,22,2019,submerged; buried in silt,611619.482202999992296,4775511.783819999545813
37,YEL,42,4603,43.179917789999998,-91.437999430000005,YEL_42_Johanningmier_4603,7,12,2019,9,18,2019,normal,626919.635696999961510,4781979.326349999755621
38,YEL,44,3195,43.023515359999998,-91.334710410000000,yel_44_buerger_3195,6,26,2019,9,12,2019,normal,635662.140316999983042,4764770.555049999617040
39,YEL,49,3214,43.137343790000003,-91.478815949999998,YEL_49_USFWS_Williams,6,19,2019,9,17,2019,normal,623397.990457999985665,4777127.992049999535084
40,YEL,5,3197,43.089659060000002,-91.557166460000005,Yel_005_PostvilleWater_WilliamsCrk,6,20,2019,9,17,2019,normal,617438.878887000028044,4771835.831709999591112
41,YEL,50,3208,43.184391339999998,-91.288855940000005,Yel_50_DNR_3208,7,29,2019,9,19,2019,submerged; totally buried,639037.412546999985352,4782725.983620000071824
42,YEL,53,3207,43.154295890000000,-91.752009920000006,YEL_53_GaryLansing,6,11,2019,9,14,2019,normal,601421.587207000004128,4778813.653289999812841
43,YEL,54,3215,43.242183429999997,-91.438128590000005,YEL_54_Jackson_3215,7,9,2019,9,18,2019,submerged; slightly buried,626870.955254000029527,4788967.083779999986291
44,YEL,58,4632,43.222068649999997,-91.416839400000001,YEL_58_Pladsen_4632_PaintCrk,7,25,2019,9,18,2019,submerged; partially buried in OM,628693.334436999983154,4786635.868599999696016
45,YEL,72,3200,43.043328279999997,-91.282071419999994,YEL_72_Schultz_3200,7,10,2019,9,11,2019,normal,639947.077890999964438,4767137.516160000115633
46,YEL,81,3203,43.127401059999997,-91.513033039999996,YEL_81_Swenson_WilliamsCrk,6,19,2019,9,17,2019,normal,620882.613428000011481,4775908.433939999900758
47,YEL,85,4607,43.156433419999999,-91.581686410000003,YEL_85_Lage,6,3,2019,9,18,2019,normal,615298.334631999954581,4779130.371480000205338
48,YEL,89,3220,43.174827389999997,-91.671308890000006,YEL_89_Mueller,6,6,2019,9,14,2019,normal,607997.127434000023641,4781055.475580000318587
49,YEL,9,3186,43.143113960000001,-91.693831279999998,YEL_009,5,30,2019,9,14,2019,normal,606170.822491000057198,4777520.766210000030696
50,YEL,97,4626,43.136958710000002,-91.465778650000004,YEL_97_White,6,18,2019,9,17,2019,normal,624780.047079000039957,4777177.203150000423193
51,YEL,153,9680,43.146935999999997,-91.703603000000001,YEL_153_TieskoetterUhlenhake,4,1,2019,10,15,2019,none provided,605251.787745999987237,4777870.069629999808967
