Watershed (HUC 8),Site #,LND,LND_ab,SRD,SRD_ab,Sculpins,Sculpins_ab,Top Carnivore,Effort (sec),eff(min),TC_FPerMin,temp,ph,do,BRTcpue(fish/min),avwid,sdwid,avdep,sdDep,maxdep,W/D ,pctclay,pctsilt,pctsand,pctfines,pctgrvl,pctcbbl,pctbldr,pctrock,subprop,mFlow,sdFlow,maxflow,pctRiffle,pctrun,pctslow,machabprop,AVembed,pctEmb1,LWD,FWD,under,boulder,depool,bnkahz%,bnkamd%,bnkavr%,Avbnka,bnkbare%,AvChnlOpen%,chshdSD%,AvChnlShd%
Upper Iowa River,117,0,0,0,0,1,23,99,2111,35.183,2.814,12.4,7.84,12.06,2.643,3.521,0.954,0.241,0.138,0.7,14.627,0,12.195,9.756,21.951,0,73.171,4.878,78.049,73.171,0.188,0.166,0.6,29.167,0.333,37.5,33.333,1.25,33.333,0.083,0.583,0.333,0.417,0.75,37.5,50,12.5,27.917,0.292,67.329,11.03,32.671
Upper Iowa River,118,1,13,1,1,0,0,0,3833,63.883,0.000,20,8.5,12.23,0,5.438,0.828,0.35,0.124,0.62,15.516,2.174,10.87,8.696,21.739,2.174,76.087,0,78.261,76.087,0.361,0.242,1.04,16.667,0.773,4.167,70.833,1.1,8.333,0.318,0.435,0,0,0.667,0,45.833,50,50.87,1.167,38.438,14.658,61.562
Upper Iowa River,123,0,0,0,0,0,0,18,3303,55.050,0.327,14.3,10.21,9.65,0.327,4.454,1.463,0.305,0.188,0.8,14.582,0,2.273,4.545,6.818,2.273,90.909,0,93.182,90.909,0.235,0.217,1.24,29.167,0.522,16.667,50,1.75,66.667,0.208,0.625,0.25,0.167,0.333,29.167,50,20.833,34.375,1.083,11.208,7.22,88.792
Upper Iowa River,128,0,0,0,0,0,0,0,1218,20.300,0.000,15.7,7.68,11.04,0,3.171,0.789,0.299,0.135,0.64,10.598,8.108,62.162,13.514,83.784,10.811,5.405,0,16.216,62.162,1.224,5.878,36,4.167,0.792,16.667,79.167,0.333,8.333,0.208,0.708,0.167,0,1.5,33.333,50,16.667,27.917,1.25,52.649,16.696,47.351
Upper Iowa River,130,0,0,0,0,1,17,16,1589,26.483,0.604,11.2,7.7,7.4,0.491,2.925,1.614,0.286,0.199,0.78,10.235,0,45.946,0,45.946,0,54.054,0,54.054,54.054,0.067,0.11,0.46,16.667,0.208,62.5,41.667,1.333,41.667,0.583,0.792,0,1.75,1.091,16.667,70.833,12.5,32.083,0.417,9.009,5.13,90.991
Upper Iowa River,135,0,0,1,4,0,0,0,1591,26.517,0.000,14.5,7.78,10.3,0,1.408,0.43,0.219,0.114,0.56,6.441,0,76.667,0,76.667,3.333,20,0,23.333,76.667,0.198,0.167,0.9,20.833,0.417,37.5,41.667,0.583,25,0.208,0.458,1.083,0,0.583,0,66.667,33.333,42.708,0.583,94.144,5.412,5.856
Upper Iowa River,149,0,0,0,0,0,0,298,5436,90.600,3.289,13.1,8.12,11.52,2.009,5.433,1.911,0.396,0.259,0.98,13.737,2.174,30.435,0,32.609,0,65.217,2.174,67.391,65.217,0.226,0.278,1.02,33.333,0.13,50,41.667,0.417,8.333,0.25,1.083,0.667,0.333,1.75,16.667,66.667,16.667,37.708,0.458,53.754,11.997,46.246
Upper Iowa River,154,0,0,0,0,0,0,111,4575,76.250,1.456,15.4,8.44,14.32,0.931,3.921,1.799,0.311,0.223,1,12.615,0,2.703,0,2.703,0,94.595,2.703,97.297,94.595,0.231,0.262,0.97,41.667,0.208,37.5,41.667,0.75,8.333,0,0.208,1,0.417,1.5,16.667,62.5,20.833,38.75,0.25,89.348,10.742,10.652
Upper Iowa River,156,0,0,0,0,0,0,27,1238,20.633,1.309,10.5,8.38,13.25,0.339,3.333,1.469,0.197,0.12,0.54,16.92,2.5,5,7.5,15,2.5,82.5,0,85,82.5,0.267,0.195,0.8,62.5,0.25,12.5,62.5,0.833,16.667,0.667,1.083,0.083,0.75,0.667,29.167,50,20.833,30,0.583,2.778,2.171,97.222
Upper Iowa River,157,0,0,0,0,1,23,162,3326,55.433,2.922,14.8,8.2,10.8,2.868,5.746,2.336,0.432,0.184,0.8,13.298,0,45.833,0,45.833,0,50,4.167,54.167,50,0.178,0.201,1.1,8.333,0.522,37.5,50,0.667,25,0.083,0.292,0.583,0.75,1.333,20.833,58.333,20.833,37.5,0.417,64.865,15.832,35.135
Upper Iowa River,163,0,0,0,0,1,99,63,1569,26.150,2.409,16,8.5,10.29,2.409,4.346,1.467,0.248,0.204,0.88,17.555,0,8.889,0,8.889,2.222,88.889,0,91.111,88.889,0.135,0.134,0.47,25,0.375,37.5,37.5,1.917,58.333,0.125,0.5,0,0.667,1.583,25,54.167,20.833,32.708,0.5,27.181,13.37,72.819
Upper Iowa River,170,0,0,0,0,0,0,0,565,9.417,0.000,14.6,8.81,8.91,0,1.846,0.798,0.117,0.072,0.3,15.821,0,33.333,0,33.333,0,66.667,0,66.667,66.667,0.088,0.088,0.29,0,0.458,54.167,54.167,0.833,33.333,0.542,0.5,0.083,0.833,0.583,33.333,62.5,4.167,26.25,0.625,4.505,3.447,95.495
Upper Iowa River,14b,0,0,0,0,0,0,20,1526,25.433,0.786,12.2,8.27,11.8,0.786,2.571,1.336,0.339,0.209,0.78,7.575,0,43.75,18.75,62.5,9.375,28.125,0,37.5,43.75,0.308,0.296,1.1,25,0.417,33.333,41.667,0.417,8.333,0.083,0.125,0.583,0,1.583,8.333,66.667,20.833,37.826,0,100,0,0
Upper Iowa River,32b,0,0,0,0,0,0,0,1369,22.817,0.000,18.1,8.63,12.16,0,1.983,0.285,0.303,0.121,0.52,6.537,0,15.789,2.632,18.421,15.789,65.789,0,81.579,65.789,0.31,0.197,0.83,8.333,0.913,0,87.5,1.167,25,0,0.167,1,0.25,0.417,0,91.667,8.333,39.792,0.417,92.943,6.089,7.057
Upper Iowa River,57b,0,0,1,2,0,0,0,2018,33.633,0.000,17.5,7.99,11.08,0,3.008,0.766,0.364,0.219,0.82,8.255,0,78.125,3.125,81.25,0,18.75,0,18.75,78.125,0.104,0.163,0.78,12.5,0.292,58.333,45.833,0.167,8.333,0.417,0.958,0.083,0,2.583,8.333,87.5,4.167,38.333,3.167,60.586,15.922,39.414
Upper Iowa River,201_NCT,0,0,0,0,0,0,50,1345,22.417,2.230,13.5,8.49,12.65,2.23,4.625,1.455,0.171,0.125,0.63,27.029,3.704,0,0,3.704,0,85.185,11.111,96.296,85.185,0.253,0.255,1.04,45.833,0.292,25,45.833,0.833,0,0,0.292,0,2.091,0.545,45.833,45.833,8.333,25.625,0,31.006,12.916,68.994
Upper Iowa River,202_CWT,0,0,0,0,0,0,46,1430,23.833,1.930,14.7,8.53,11.05,1.93,2.85,0.931,0.202,0.111,0.48,14.079,0,9.091,3.03,12.121,0,87.879,0,87.879,87.879,0.513,0.317,1.23,66.667,0.304,0,66.667,1.75,50,0.25,0.292,0.083,0.083,0.417,50,45.833,4.167,24.583,0.35,32.619,13.864,67.381
Yellow River,1,1,1,0,0,0,0,24,4405,73.417,0.327,13.5,8.56,10.11,0.327,5.996,1.195,0.324,0.157,0.88,18.484,0,20.833,4.167,25,8.333,64.583,2.083,75,64.583,0.265,0.171,0.85,29.167,0.583,12.5,58.333,0.5,8.333,0.625,0.875,0.167,0.583,0.917,8.333,70.833,20.833,41.042,0.917,19.52,11.878,80.48
Yellow River,4,0,0,0,0,0,0,75,1925,32.083,2.338,13.4,8.41,10.77,2.338,2.4,1.006,0.166,0.093,0.5,14.433,0,11.429,0,11.429,0,88.571,0,88.571,88.571,0.336,0.269,0.93,50,0.5,0,50,1.833,58.333,0.167,0.25,0.417,0.5,0.417,12.5,70.833,16.667,40,0.167,45.676,16.078,54.324
Yellow River,17,0,0,0,0,0,0,1,913,15.217,0.066,17.1,8.85,10.36,0.066,2.177,0.535,0.317,0.126,0.74,6.863,0,28,0,28,0,72,0,72,72,0.492,0.215,1.05,4.167,0.913,4.167,87.5,0.917,16.667,0.042,0.625,1.333,0,0.083,0,54.167,45.833,51.667,0.167,81.532,12.074,18.468
Yellow River,20,0,0,0,0,0,0,72,4515,75.250,0.957,13.4,8.8,13.01,0.957,4.388,1.188,0.225,0.114,0.56,19.5,0,13.043,0,13.043,8.696,73.913,4.348,86.957,73.913,0.192,0.163,0.61,54.167,0.167,29.167,54.167,0.833,25,0.208,0.75,0,1.083,0.75,12.5,79.167,8.333,33.542,0.708,6.564,4.754,93.436
Yellow River,25,0,0,0,0,0,0,5,945,15.750,0.317,15.7,8.12,11.67,0,0.971,0.273,0.21,0.102,0.53,4.623,0,12.5,0,12.5,8.333,79.167,0,87.5,79.167,0.327,0.191,0.93,20.833,0.708,8.333,70.833,0.583,16.667,0,0.208,1.25,0,0.083,0,70.833,29.167,47.5,0,98.198,1.775,1.802
Yellow River,29,0,0,0,0,0,0,9,1293,21.550,0.418,23.2,7.96,10.3,0.093,2.65,1.222,0.232,0.086,0.42,11.426,0,20.69,0,20.69,0,79.31,0,79.31,79.31,0.192,0.186,0.68,25,0.375,37.5,37.5,1.25,41.667,0.042,0.625,0.833,0.167,0.75,16.667,54.167,29.167,36.25,0.167,42.117,12.079,57.883
Yellow River,33,0,0,0,0,0,0,0,736,12.267,0.000,13.1,7.91,12.12,0,1.971,0.742,0.225,0.203,0.84,8.759,0,4.348,0,4.348,0,95.652,0,95.652,95.652,0.141,0.087,0.29,41.667,0.292,29.167,41.667,1.75,58.333,0.5,1.167,0.417,0.75,0.583,37.5,54.167,8.333,25.417,1.208,7.808,6.187,92.192
Yellow River,36,0,0,0,0,0,0,0,633,10.550,0.000,25.7,8.67,12.74,0,1.863,0.597,0.172,0.177,0.86,10.833,7.143,3.571,0,10.714,3.571,82.143,3.571,89.286,82.143,0.168,0.188,0.39,29.167,0.583,12.5,58.333,1.833,75,0.125,0.292,0.167,0.583,0.583,37.5,41.667,20.833,30.833,0.75,55.068,15.76,44.932
Yellow River,39,0,0,0,0,0,0,0,1498,24.967,0.000,12.5,8.5,10.3,0,0.913,0.24,0.349,0.359,2,2.613,0,100,0,100,0,0,0,0,100,0.111,0.063,0.29,0,0.208,79.167,75,0,0,0,0.125,0,0,0.583,8.333,91.667,0,32.708,0.542,80.18,11.26,19.82
Yellow River,40,1,7,0,0,0,0,87,3331,55.517,1.567,15.4,8.13,10.86,1.549,6.146,1.779,0.248,0.129,0.62,24.832,0,4.545,0,4.545,2.273,93.182,0,95.455,93.182,0.366,0.246,1.04,50,0.391,8.333,50,1.167,41.667,0.083,0.333,0.5,0.917,0.333,12.5,87.5,0,33.333,0.208,61.637,15.105,38.363
Yellow River,41,1,16,0,0,0,0,5,1848,30.800,0.162,19.2,8.32,14.31,0,2.978,0.838,0.234,0.136,0.62,12.712,2.941,5.882,0,8.824,14.706,76.471,0,91.176,76.471,0.242,0.172,0.86,37.5,0.417,20.833,41.667,2,75,0.042,0,0.667,0,0.917,20.833,58.333,20.833,34.792,1.708,100,0,0
Yellow River,52,0,0,1,1,0,0,1,1372,22.867,0.044,14.3,8.66,9.94,0.044,1.892,0.551,0.227,0.079,0.4,8.336,0,11.538,0,11.538,19.231,69.231,0,88.462,69.231,0.474,0.209,0.99,29.167,0.708,0,70.833,2.545,75,0.708,0.417,0.167,0.583,0.083,4.167,75,20.833,39.125,0.833,7.432,5.119,92.568
Yellow River,56,1,94,0,0,0,0,17,1552,25.867,0.657,18,8.33,12.17,0.657,3.079,0.933,0.251,0.178,0.74,12.289,0,0,0,0,3.333,96.667,0,100,96.667,0.198,0.203,0.94,33.333,0.458,20.833,45.833,1.5,50,0.25,0.583,0.583,0.167,0.75,29.167,45.833,25,31.875,0.833,53.754,15.921,46.246
Yellow River,57,0,0,1,17,0,0,1,702,11.700,0.085,20,8.62,9.92,0,1.396,0.329,0.283,0.084,0.46,4.926,0,29.167,8.333,37.5,12.5,50,0,62.5,50,0.363,0.159,0.72,16.667,0.75,8.333,75,1,33.333,0,0.083,1.333,0,0.333,16.667,83.333,0,25.417,0.333,74.324,12.958,25.676
Yellow River,65,1,3,0,0,0,0,16,1594,26.567,0.602,13.9,8.73,12.13,0.602,1.796,0.388,0.194,0.071,0.32,9.236,0,2.778,0,2.778,2.778,94.444,0,97.222,94.444,0.335,0.223,0.88,37.5,0.583,4.167,58.333,1.6,33.333,0,0.043,0.182,0.091,0.909,0,83.333,16.667,41.458,1,100,0,0
Yellow River,73,1,3,1,4,0,0,3,2151,35.850,0.084,14.9,8.61,12.52,0.056,2.917,0.586,0.441,0.13,0.68,6.607,0,29.63,0,29.63,11.111,59.259,0,70.37,59.259,0.392,0.299,1.23,8.333,0.909,0,83.333,1.333,41.667,0.042,0.458,0.583,0.333,1.167,12.5,75,12.5,36.875,0.417,92.342,8.321,7.658
Yellow River,77,1,62,1,7,0,0,4,1604,26.733,0.150,21.2,8.31,11.61,0.15,2.838,0.939,0.313,0.131,0.62,9.073,3.226,3.226,0,6.452,0,87.097,6.452,93.548,87.097,0.362,0.279,1.12,45.833,0.348,16.667,45.833,0.917,25,0.042,0.208,0,0.25,0.833,8.333,62.5,29.167,48.75,0.5,94.069,7.938,5.931
Yellow River,80,0,0,0,0,1,6,0,1682,28.033,0.000,18.3,9.03,11.55,0,3.358,1.286,0.21,0.14,0.54,15.97,0,32.353,0,32.353,2.941,64.706,0,67.647,64.706,0.12,0.116,0.47,16.667,0.292,54.167,45.833,0.583,16.667,0.5,0.958,0.333,1.167,1.333,37.5,41.667,20.833,32.292,0.667,9.777,8.202,90.223
Yellow River,82,0,0,0,0,1,52,56,1963,32.717,1.712,17.9,8.21,12.86,1.712,3.833,1.051,0.305,0.224,1.08,12.559,0,4.545,2.273,6.818,0,93.182,0,93.182,93.182,0.232,0.226,0.89,41.667,0.292,29.167,41.667,1,25,0.083,0.542,0.333,0.417,1.25,54.167,29.167,16.667,24.875,0.208,33.386,12.39,66.614
Yellow River,101,0,0,1,9,0,0,0,903,15.050,0.000,17.7,7.86,12.59,0,2.096,0.574,0.187,0.11,0.42,11.214,6.897,3.448,10.345,20.69,13.793,65.517,0,79.31,65.517,0.156,0.144,0.52,33.333,0.333,33.333,33.333,1.583,58.333,0,0.167,0.083,0.083,0.75,12.5,62.5,25,36.875,1.391,98.198,1.614,1.802
Yellow River,103,0,0,0,0,0,0,43,1836,30.600,1.405,15.6,8.12,10.89,0.163,2.608,0.826,0.158,0.116,0.52,16.532,0,5.556,8.333,13.889,5.556,80.556,0,86.111,80.556,0.229,0.231,1.04,33.333,0.435,20.833,41.667,1,25,0.375,1,0.333,0.5,0.667,41.667,45.833,12.5,25.833,0.5,24.662,13.727,75.338
Yellow River,105,0,0,0,0,0,0,0,1275,21.250,0.000,12.7,8.24,12.28,0,2.542,0.678,0.12,0.059,0.3,21.231,0,0,0,0,0,100,0,100,100,0.303,0.194,0.75,66.667,0.333,0,66.667,1.167,16.667,0.042,0.042,0.083,0.333,0.333,33.333,58.333,8.333,24.792,0,23.502,9.31,76.498
Yellow River,113,0,0,0,0,0,0,0,413,6.883,0.000,19.6,8.76,10.48,0,1.329,0.216,0.159,0.132,0.77,8.37,0,24,0,24,20,56,0,76,56,0.318,0.128,0.75,25,0.75,0,75,0.833,16.667,0.667,1.333,0,0,0.083,4.167,58.333,37.5,45.208,1.667,1.802,2.309,98.198
Yellow River,119,1,9,0,0,0,0,15,1837,30.617,0.490,19,8.23,13.17,0,2.963,1.389,0.355,0.115,0.56,8.338,0,65.957,25.532,91.489,2.128,6.383,0,8.511,65.957,0.187,0.11,0.43,8.333,0.708,20.833,70.833,0.333,8.333,0.083,0.083,1.667,0.083,1.333,0,100,0,35.208,0.833,99.7,0.465,0.3
Yellow River,120,1,10,0,0,0,0,45,3129,52.150,0.863,14.2,7.92,11.5,0.844,4.513,1.348,0.234,0.134,0.58,19.277,2.273,18.182,29.545,50,2.273,47.727,0,50,47.727,0.203,0.192,0.69,25,0.5,25,50,1.25,41.667,0.75,1.25,0.667,0.167,1.333,25,75,0,30.833,1.208,36.562,15.738,63.438
