"","watershed","site","occ1","occ2","occ3","presence","EncHist","tempC","avwid","avdep","pctrock","pctbarebnk","pctcanopyopen"
"27","UPI",66,0,1,1,1,"011",14.1640342278406,2.35341252270155,0.542305565685965,33,50,64
"28","UPI",457,0,0,0,0,"000",16.94413028704,10.2833434101194,0.433750415570103,85,6,94
"29","UPI",372,1,1,0,1,"110",15.569465123117,5.16190622700378,0.20555238022469,14,53,41
"30","UPI",250,1,0,1,1,"101",16.3587872120552,1.51779271988198,0.318650754629634,32,33,68
"31","UPI",453,0,0,0,0,"000",12.3998595126905,9.14055771636777,0.207003984893672,2,21,39
"32","UPI",356,1,0,0,1,"100",22.9569540466182,1.29992538364604,0.452089678654447,20,2,34
"33","UPI",246,1,1,0,1,"110",18.1590323918499,5.6709492446389,0.167417925349437,54,44,65
"34","UPI",395,0,1,0,1,"010",12.9018161403947,11.5722774728201,0.526752460701391,8,85,33
"35","UPI",101,0,0,1,1,"001",11.248616182711,5.83811074658297,0.172153052506037,87,52,89
"36","UPI",153,0,0,0,0,"000",22.5204821107909,4.13541917363182,0.645244025685824,36,41,66
"37","UPI",38,0,1,0,1,"010",18.9853787715547,9.78411366930231,0.548076497139409,66,28,30
"38","UPI",332,0,0,1,1,"001",22.7473643701524,12.9893438557629,0.271015803241171,92,54,16
"39","UPI",83,1,0,1,1,"101",16.4060682645068,12.8639925427269,0.664199900310486,44,55,29
"40","UPI",419,0,1,0,1,"010",17.2280226168223,8.36794211389497,0.430302563989535,2,74,14
"41","UPI",62,1,1,0,1,"110",12.0375616867095,3.36586346151307,0.621397336944938,35,77,13
"42","UPI",419,1,0,0,1,"100",11.7339939558879,10.00525136129,0.33078969609458,82,71,22
"43","UPI",324,0,0,0,0,"000",20.668989086058,6.86195103428327,0.498352183755487,70,14,72
"44","UPI",238,0,0,0,0,"000",9.81032289750874,7.52078894712031,0.280466317688115,28,56,51
"45","UPI",209,0,0,1,1,"001",20.3051213836297,5.97744026244618,0.644500217488967,96,75,98
"46","UPI",264,1,0,1,1,"101",18.3568190624937,13.3486300583463,0.611247669239528,9,99,98
"47","UPI",356,0,0,0,0,"000",13.7298700930551,6.76368920644745,0.269010329465382,96,41,21
"48","UPI",297,0,0,0,0,"000",10.3934573782608,7.88075377908535,0.139673051098362,82,56,45
"49","UPI",329,0,1,1,1,"011",14.0177084514871,2.16790092247538,0.287172329695895,100,17,24
"50","UPI",94,0,1,0,1,"010",20.8746103206649,5.61516896169633,0.447045582267456,41,15,1
"51","UPI",40,0,0,1,1,"001",21.3454295932315,5.64583776006475,0.120035284794867,41,63,40
"52","UPI",216,0,1,0,1,"010",20.6581078218296,6.93638485204428,0.212155113904737,98,70,19
"53","UPI",442,0,1,1,1,"011",16.9263472897001,3.76289222040214,0.429200577205047,23,82,50
"54","UPI",190,1,0,1,1,"101",22.4284476200119,7.84815671946853,0.66631415523123,55,52,22
"55","UPI",282,0,1,0,1,"010",11.6022390993312,12.9915495200548,0.624246824369766,11,78,81
"56","UPI",287,1,1,0,1,"110",13.5966815473512,7.25046859658323,0.671042903824709,20,79,50
"57","UPI",275,0,0,0,0,"000",22.6180110191926,1.19101181649603,0.265831950637512,74,8,62
"58","UPI",359,1,0,1,1,"101",18.6781736663543,4.14870798983611,0.191121933138929,70,7,41
"59","UPI",313,1,1,0,1,"110",10.924816550687,9.4526004998479,0.507950636330061,41,3,21
"60","UPI",253,1,1,0,1,"110",17.7127109686844,1.24664458842017,0.539331787838601,35,79,5
"61","YEL",307,1,1,0,1,"110",22.0015578852035,13.3647703819443,0.529997857520357,100,11,81
"62","YEL",102,0,0,0,0,"000",12.4419571454637,6.16497144545428,0.153468253985047,82,28,96
"63","YEL",409,0,0,0,0,"000",9.44012333638966,2.99519116687588,0.2399230170995,69,42,51
"64","YEL",82,1,0,1,1,"101",16.468583157286,8.59592530084774,0.56617562381085,67,40,43
"65","YEL",45,0,1,0,1,"010",22.3993458934128,10.9854453648441,0.607822364638559,80,20,4
"66","YEL",227,1,0,0,1,"100",9.22484990023077,10.9675287343562,0.56270971484948,17,41,77
"67","YEL",162,1,0,0,1,"100",19.4099452449009,10.1696401101071,0.172354085277766,53,54,29
"68","YEL",2,0,1,0,1,"010",10.5726126092486,10.7461163906846,0.637474997653626,100,99,6
"69","YEL",429,1,0,0,1,"100",10.2886320315301,10.3434508100618,0.675756998225115,26,47,24
"70","YEL",183,0,1,0,1,"010",11.0035870992579,8.55631190771237,0.621812317613512,28,69,58
"71","YEL",256,0,1,0,1,"010",17.8004814409651,2.72877767449245,0.585508490232751,57,21,62
"72","YEL",333,0,0,0,0,"000",13.358262039721,13.7636469649151,0.26043386479374,19,71,8
"73","YEL",197,0,1,0,1,"010",15.5560457422398,13.0579447455239,0.507914998265915,78,90,1
"74","YEL",443,1,0,0,1,"100",19.3749670330435,3.33128732675686,0.694244434274733,55,53,2
"75","YEL",162,0,0,0,0,"000",11.8736336985603,3.73873461922631,0.221079270089976,100,10,23
"76","YEL",301,0,1,0,1,"010",12.6282943496481,10.5080774319358,0.481820801729336,68,42,72
"77","YEL",285,0,0,0,0,"000",17.3370446446352,1.32573318621144,0.494283032119274,48,9,89
"78","YEL",237,0,0,1,1,"001",21.3266564314254,9.64831739873625,0.436861856351607,66,82,59
"79","YEL",69,1,0,0,1,"100",16.989034274593,12.1686587603763,0.652709442540072,54,68,39
"80","YEL",87,1,0,1,1,"101",19.1170239448547,8.19837851752527,0.141326506757177,92,54,5
"81","YEL",115,1,0,0,1,"100",16.2155639277771,13.1816046775784,0.209471410242841,41,96,55
"82","YEL",125,0,0,1,1,"001",22.2165165161714,5.12989377533086,0.341724123009481,48,97,63
"83","YEL",254,0,1,0,1,"010",20.3111406601965,10.9201754939277,0.163708872594871,92,58,3
"84","YEL",126,0,0,1,1,"001",17.4706950602122,13.661358632613,0.1885517330328,66,99,32
"85","YEL",298,1,1,0,1,"110",11.5638611009344,3.34318948793225,0.429126255614683,52,54,49
"86","YEL",286,0,1,1,1,"011",9.83909181598574,8.40875703701749,0.610329663502052,97,62,10
"87","YEL",7,0,1,1,1,"011",14.9676717109978,7.42836427572183,0.241958452593535,39,38,58
"88","YEL",290,0,0,1,1,"001",10.6945475107059,9.54103565425612,0.25458160942886,80,32,68
"89","YEL",94,0,0,0,0,"000",12.3204554812983,5.23132743057795,0.350439190370962,51,49,71
"90","YEL",304,0,0,1,1,"001",10.0927430354059,5.4552207167726,0.351025035479106,40,47,25
"91","YEL",264,0,1,0,1,"010",22.6559704388492,11.0632177835796,0.248055399735458,30,32,30
"92","YEL",96,0,0,1,1,"001",18.0771585004404,11.1215115773957,0.123009769315831,40,97,54
"93","YEL",13,1,0,1,1,"101",11.0008947663009,2.73141341656446,0.509288065205328,51,18,71
"94","YEL",328,1,0,1,1,"101",10.9669660539366,11.7941293348558,0.470793752362952,69,55,72
"95","YEL",358,0,1,1,1,"011",13.6736743366346,5.2507277703844,0.579896779647097,42,65,32
"96","YEL",446,1,1,1,1,"111",12.7444344032556,2.94157576817088,0.56412992649246,17,92,33
"97","YEL",223,0,0,0,0,"000",11.1725545455702,6.24883918231353,0.341848407895304,85,2,33
"98","YEL",215,1,1,0,1,"110",12.7254449194297,10.3702308717184,0.249358714628033,66,62,57
"99","YEL",302,0,1,0,1,"010",9.99277887446806,7.13589425361715,0.280790458861738,27,59,52
"100","YEL",390,1,1,0,1,"110",15.9081807555631,9.88872860767879,0.175342901512049,27,50,38
"101","YEL",243,0,1,0,1,"010",17.8777416469529,13.2386846737936,0.226834844052792,63,90,35
"102","YEL",244,0,0,0,0,"000",18.9845596137457,8.86037420132197,0.395908744358458,91,32,74
"103","YEL",315,0,1,1,1,"011",14.1695067863911,5.20986947626807,0.24250443904195,15,24,99
"104","YEL",343,1,1,0,1,"110",22.0016918168403,12.1644475031644,0.682653408600017,91,41,88
"105","YEL",276,1,0,0,1,"100",21.801755557768,6.57315543945879,0.369301850926131,93,4,18
"106","YEL",381,0,0,0,0,"000",12.9243074860424,7.49860844155774,0.456545922402292,95,9,39
"107","YEL",203,1,0,1,1,"101",20.2050369945355,13.7017322364263,0.57000678349752,13,15,71
"108","YEL",21,0,1,0,1,"010",22.2168261483312,13.8648227944504,0.234986422876827,36,6,12
"109","YEL",235,0,0,1,1,"001",17.9390550404787,4.85574104404077,0.502458267831243,13,36,44
"110","YEL",51,0,0,1,1,"001",10.435908335261,10.18623490748,0.325842585763894,98,88,90
"111","YEL",27,1,1,1,1,"111",15.615981805604,3.27415350801311,0.414049087129533,57,96,79
"112","YEL",136,0,0,0,0,"000",22.389008638449,10.4254361265339,0.46339395689778,94,10,29
"113","YEL",143,0,1,1,1,"011",17.7872188123874,7.12205712078139,0.256573909204453,32,74,89
"114","YEL",352,1,1,0,1,"110",18.2185881086625,11.8760373014957,0.354327058554627,71,34,1
"115","YEL",19,0,1,0,1,"010",12.0978244040161,5.84610373107716,0.590965506685898,67,21,12
"116","YEL",45,0,1,0,1,"010",17.5046186908148,8.54848912009038,0.127844494506717,42,25,46
"117","YEL",165,0,1,0,1,"010",22.930545005016,13.7723936887924,0.694376050038263,65,76,60
"118","YEL",14,0,0,0,0,"000",19.7065997491591,5.91340376040898,0.234456727057695,52,83,89
"119","YEL",61,1,1,1,1,"111",15.8001385428943,5.21409270144068,0.205358787039295,49,14,69
"120","YEL",7,0,1,0,1,"010",22.1591058829799,5.37355857458897,0.623936658129096,87,47,79
"121","LMAQ",182,0,0,0,0,"000",22.3946475880221,12.1146569030825,0.496863290406764,87,31,89
"122","LMAQ",140,1,0,0,1,"100",15.9491978441365,13.1399068282917,0.572048146920279,8,6,26
"123","LMAQ",315,0,0,0,0,"000",10.7713265954517,2.54968812922016,0.574080033246428,39,1,14
"124","LMAQ",125,0,0,0,0,"000",13.8692949055694,3.13718586345203,0.66239618988242,80,67,52
"125","LMAQ",17,0,1,0,1,"010",20.0567679773085,2.06920261518098,0.137132192868739,29,93,30
"126","LMAQ",409,0,1,0,1,"010",11.7212571608834,8.57851142762229,0.483741594725288,54,40,36
"127","LMAQ",288,1,0,0,1,"100",9.18808199558407,11.5337534365244,0.66403905772604,24,72,41
"128","LMAQ",39,1,0,0,1,"100",13.2155732042156,1.16073838155717,0.455411262665875,73,6,11
"129","LMAQ",386,0,0,1,1,"001",12.0184465800412,6.16638895869255,0.331580178104341,45,42,7
"130","LMAQ",100,1,0,0,1,"100",19.300186808221,5.69024055916816,0.686915022716857,25,9,19
"131","LMAQ",22,0,1,0,1,"010",18.565956951119,3.83252723398618,0.322734023127705,96,89,31
"132","LMAQ",356,0,1,1,1,"011",22.9100323063321,8.0519232978113,0.421823665783741,59,16,87
"133","LMAQ",114,0,1,0,1,"010",20.4023530595005,1.47201319970191,0.190325921033509,12,23,98
"134","LMAQ",416,1,0,1,1,"101",20.0563298701309,6.69582109246403,0.630334156267345,65,25,93
"135","LMAQ",8,1,1,0,1,"110",22.2385405157693,3.0498698586598,0.32146506421268,84,29,44
"136","LMAQ",92,1,0,0,1,"100",9.26684158202261,1.80008905823343,0.250579699953087,36,24,5
"137","LMAQ",351,1,1,1,1,"111",17.9590086834505,3.58470128010958,0.595825465782545,19,76,17
"138","LMAQ",344,0,1,0,1,"010",12.393106777221,7.02865490247495,0.635054817884229,76,60,96
"139","LMAQ",57,0,1,1,1,"011",20.5119842500426,9.27108773915097,0.421847761557437,47,12,72
"140","LMAQ",412,0,0,0,0,"000",21.2393732997589,11.9059217898175,0.257093573040329,54,7,41
"141","LMAQ",106,0,1,0,1,"010",9.97234482085332,11.3165685706772,0.161003539022058,88,47,83
"142","LMAQ",307,1,0,0,1,"100",13.1362158637494,5.84036647714674,0.14498884532135,96,49,55
"143","LMAQ",64,1,0,0,1,"100",19.6641088649631,12.6808492881246,0.612519740462303,88,23,56
"144","LMAQ",77,1,0,0,1,"100",22.2419844213873,12.5495441900566,0.252206167648546,85,98,63
"145","LMAQ",52,0,0,0,0,"000",11.052961032372,10.8760633431375,0.365028131799772,22,9,66
"146","LMAQ",160,0,1,1,1,"011",22.8937284243293,2.03248495399021,0.487582216383889,76,9,45
"147","LMAQ",296,0,0,0,0,"000",17.2534100972116,4.16693363222294,0.583212918639183,36,61,73
"148","LMAQ",333,0,0,0,0,"000",10.9206509403884,1.11954084085301,0.17801065093372,36,21,48
"149","LMAQ",133,0,1,0,1,"010",17.5398103496991,1.19394779577851,0.434312412706204,75,65,100
"150","LMAQ",86,1,0,1,1,"101",21.2175655993633,1.31826880783774,0.620251554357819,14,98,75
